Time,Currency,Impact,Event,Actual,Forecast,Previous
2:30pm,USD,N/A,Building Permits,1.51M,1.43M,1.42M
3:00pm,CHF,Medium,SNB Quarterly Bulletin,,,
4:30pm,USD,N/A,Crude Oil Inventories,-0.9M,-1.6M,-1.4M
8:00pm,USD,High,Federal Funds Rate,4.50%,4.50%,4.75%
8:30pm,USD,High,FOMC Press Conference,,,
10:45pm,NZD,High,GDP q/q,-1.0%,-0.2%,-1.1%
1:00am,AUD,Medium,MI Inflation Expectations,4.2%,,3.8%
3:52am,JPY,High,BOJ Policy Rate,<0.25%,<0.25%,<0.25%
7:30am,JPY,High,BOJ Press Conference,,,
8:00am,CHF,Medium,Trade Balance,5.42B,6.20B,8.03B
10:02am,EUR,Medium,Current Account,25.8B,33.5B,38.8B
1:00pm,GBP,High,Monetary Policy Summary,,,
2:30pm,USD,High,Final GDP q/q,3.1%,2.8%,2.8%
4:00pm,USD,N/A,Existing Home Sales,4.15M,4.09M,3.96M
4:30pm,USD,Medium,Natural Gas Storage,-125B,-123B,-190B
10:00pm,USD,Medium,TIC Long-Term Purchases,152.3B,154.3B,216.1B
10:45pm,NZD,Medium,Trade Balance,-437M,-1951M,-1658M
12:30am,JPY,Medium,National Core CPI y/y,2.7%,2.6%,2.3%
1:30am,AUD,Medium,Private Sector Credit m/m,0.5%,0.5%,0.6%
2:00am,CNY,N/A,1-y Loan Prime Rate,3.10%,3.10%,3.10%
3:00am,NZD,Medium,Credit Card Spending y/y,-3.2%,,0.3%
8:00am,EUR,Medium,German PPI m/m,0.5%,0.3%,0.2%
12:00pm,GBP,Medium,CBI Realized Sales,-15,-9,-18
1:30pm,USD,Medium,FOMC Member Daly Speaks,,,
2:30pm,CAD,High,Core Retail Sales m/m,0.1%,0.2%,1.1%
2:48pm,EUR,Medium,Belgian NBB Business Climate,-13.8,-11.7,-11.1
4:00pm,EUR,Medium,Consumer Confidence,-15,-14,-14
5:30pm,AUD,Medium,CB Leading Index m/m,0.2%,,0.2%
8:00am,EUR,Medium,German Import Prices m/m,0.9%,0.5%,0.6%
10:00am,CHF,Medium,UBS Economic Expectations,-20.0,,-12.4
2:30pm,CAD,High,GDP m/m,0.3%,0.2%,0.2%
4:00pm,USD,N/A,CB Consumer Confidence,104.7,112.9,112.8
7:30pm,CAD,Medium,BOC Summary of Deliberations,,,
12:50am,JPY,Medium,Monetary Policy Meeting Minutes,,,
1:30am,AUD,N/A,Monetary Policy Meeting Minutes,,,
5:59am,JPY,Medium,BOJ Core CPI y/y,1.7%,1.5%,1.5%
All Day,EUR,N/A,German Bank Holiday,,,
3:59pm,USD,N/A,Richmond Manufacturing Index,-10,-10,-14
All Day,NZD,N/A,Bank Holiday,,,
All Day,AUD,N/A,Bank Holiday,,,
12:50am,JPY,Medium,SPPI y/y,3.0%,3.0%,2.9%
5:17am,JPY,Medium,BOJ Gov Ueda Speaks,,,
All Day,CHF,N/A,Bank Holiday,,,
All Day,EUR,N/A,French Bank Holiday,,,
All Day,EUR,N/A,German Bank Holiday,,,
All Day,EUR,N/A,Italian Bank Holiday,,,
All Day,GBP,N/A,Bank Holiday,,,
All Day,CAD,N/A,Bank Holiday,,,
All Day,USD,N/A,Bank Holiday,,,
All Day,NZD,N/A,Bank Holiday,,,
All Day,AUD,N/A,Bank Holiday,,,
All Day,CHF,N/A,Bank Holiday,,,
All Day,EUR,N/A,German Bank Holiday,,,
All Day,EUR,N/A,Italian Bank Holiday,,,
All Day,GBP,N/A,Bank Holiday,,,
All Day,CAD,N/A,Bank Holiday,,,
2:30pm,USD,High,Unemployment Claims,219K,223K,220K
12:30am,JPY,N/A,Tokyo Core CPI y/y,2.4%,2.5%,2.2%
12:50am,JPY,Medium,BOJ Summary of Opinions,,,
6:00am,JPY,Medium,Housing Starts y/y,-1.8%,-0.1%,-2.9%
2:30pm,USD,Medium,Goods Trade Balance,-102.9B,-101.3B,-98.3B
4:30pm,USD,Medium,Natural Gas Storage,-93B,-100B,-125B
7:00pm,USD,N/A,Crude Oil Inventories,-4.2M,-0.7M,-0.9M
1:30am,JPY,Medium,Final Manufacturing PMI,49.6,49.5,49.5
9:00am,CHF,Medium,KOF Economic Barometer,99.5,101.1,102.9
3:45pm,USD,N/A,Chicago PMI,36.9,42.7,40.2
4:00pm,USD,N/A,Pending Home Sales m/m,2.2%,0.9%,1.8%
All Day,JPY,N/A,Bank Holiday,,,
2:30am,CNY,High,Manufacturing PMI,50.1,50.3,50.3
All Day,EUR,N/A,German Bank Holiday,,,
3:00pm,USD,N/A,S&P/CS Composite-20 HPI y/y,4.2%,4.1%,4.6%
All Day,NZD,N/A,Bank Holiday,,,
All Day,AUD,N/A,Bank Holiday,,,
